,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,Just The Way You Are,Red Hot R & B,Various Artists,2011-01-01,220293,41,0.636,0.0132,0.636,0.847,0.0,0.105,-5.417,0.0439,109.028,4
37,Next To You (feat. Justin Bieber),F.A.M.E. (Expanded Edition),Chris Brown,2011-03-22,265813,70,0.67,0.0201,0.67,0.676,0.0,0.11,-4.725,0.037,114.974,4
38,Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,134239,88,0.707,0.127,0.707,0.955,0.0,0.202,-4.593,0.222,125.989,4
39,Say So (feat. Nicki Minaj),Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,206220,83,0.856,0.119,0.856,0.641,4.97e-06,0.427,-4.64,0.204,111.004,4
40,Broken Angel,Superman,Arash,2014-11-04,192280,44,0.659,0.264,0.659,0.743,4.92e-06,0.0994,-5.99,0.0252,111.064,4
41,Until You Were Gone (feat. Emily Warren),Bouquet,The Chainsmokers,2015-10-23,217040,52,0.569,0.0492,0.569,0.635,0.0,0.0569,-7.382,0.0461,128.085,4
42,Braille,Unfaithful (Original Motion Picture Soundtrack),Jan A.P. Kaczmarek,2002-01-01,118600,24,0.183,0.943,0.183,0.0238,0.947,0.0931,-23.562,0.0397,135.711,3
43,River Flows In You,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),Yiruma,2001-11-27,188786,71,0.314,0.987,0.314,0.22,0.943,0.0802,-21.343,0.0514,145.277,4
44,Kiss The Rain,Yiruma 3rd Album 'From The Yellow Room' (The Original & the Very First Recording),Yiruma,2003-10-23,260653,64,0.559,0.99,0.559,0.0519,0.905,0.117,-22.616,0.0423,132.694,4
45,River Flows in You,The Best - Reminiscent 10th Anniversary,Yiruma,2011-12-09,218293,62,0.287,0.968,0.287,0.292,0.978,0.09,-19.285,0.0541,145.703,4
46,Kiss the Rain,The Best - Reminiscent 10th Anniversary,Yiruma,2011-12-09,300413,57,0.557,0.99,0.557,0.0958,0.872,0.145,-18.457,0.0542,112.819,4
47,Say So,Hot Pink,Doja Cat,2019-11-07,237893,90,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
48,Memories,Memories,Maroon 5,2019-09-20,189486,90,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4
49,Make You Mine,Make You Mine,PUBLIC,2019-08-09,232906,84,0.606,0.0128,0.606,0.799,0.0,0.15,-4.452,0.0261,103.014,4
50,Love Me,My World,Justin Bieber,2009-01-01,191573,66,0.729,0.00939,0.729,0.868,0.0,0.283,-3.319,0.0609,124.957,4
51,Boyfriend,Believe,Justin Bieber,2012-01-01,171333,10,0.717,0.0358,0.717,0.55,0.00196,0.126,-6.019,0.0521,96.976,4
52,Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,185351,2,0.608,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4
53,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,2012-06-15,229466,68,0.571,0.0811,0.571,0.873,0.0,0.361,-3.382,0.1,139.691,4
